timestamp,position_lat,position_long,distance,enhanced_altitude,altitude,enhanced_speed,speed,heart_rate,cadence,fractional_cadence,temperature
2020-02-28 13:48:01-06:00,34.120597802102566,-118.5533766914159,25.92868,520.8,5104,14.076,14076.0,150,,,32
2020-02-28 13:48:02-06:00,34.12059956230223,-118.55341675691307,25.93236,521.0,5105,14.0076,14007.6,151,,,32
2020-02-28 13:48:03-06:00,34.12060501053929,-118.55345455929637,25.93589,521.0,5105,14.0076,14007.6,151,,,32
2020-02-28 13:48:04-06:00,34.12060869857669,-118.55349529534578,25.93966,521.2,5106,13.975200000000001,13975.2,151,,,32
2020-02-28 13:48:05-06:00,34.12060869857669,-118.55353661812842,25.943450000000002,521.2,5106,13.9392,13939.2,151,,,32
2020-02-28 13:48:06-06:00,34.12060333415866,-118.55357970111072,25.94745,521.4,5107,13.9392,13939.2,150,,,32
2020-02-28 13:48:07-06:00,34.12059394642711,-118.55362202972174,25.95148,521.4,5107,13.975200000000001,13975.2,150,,,32
2020-02-28 13:48:08-06:00,34.12058128975332,-118.55366318486631,25.95553,521.6,5108,14.04,14040.0,150,,,32
2020-02-28 13:48:09-06:00,34.1205667052418,-118.5537065193057,25.95984,521.6,5108,14.04,14040.0,150,,,32
2020-02-28 13:48:10-06:00,34.12055069580674,-118.55375111103058,25.96432,521.8,5109,14.04,14040.0,150,,,32
2020-02-28 13:48:11-06:00,34.12053485400975,-118.55379712767899,25.96891,522.0,5110,14.31,14310.0,148,,,32
2020-02-28 13:48:12-06:00,34.120517168194056,-118.55384364724159,25.97363,522.0,5110,14.680800000000001,14680.800000000001,148,,,32
2020-02-28 13:48:13-06:00,34.120500572025776,-118.55388773605227,25.97809,522.2,5111,14.9796,14979.6,149,,,32
2020-02-28 13:48:14-06:00,34.1204855684191,-118.55393157340586,25.98246,522.2,5111,15.282,15282.0,149,,,32
2020-02-28 13:48:15-06:00,34.12047006189823,-118.55397381819785,25.986720000000002,522.4,5112,15.282,15282.0,149,,,32
2020-02-28 13:48:16-06:00,34.12045195698738,-118.55401430279016,25.990959999999998,522.4,5112,15.3504,15350.4,149,,,32
2020-02-28 13:48:17-06:00,34.12043125368655,-118.55405436828732,25.9953,522.4,5112,15.483600000000001,15483.6,148,,,32
2020-02-28 13:48:18-06:00,34.12040359340608,-118.55409015901387,25.999779999999998,522.6,5113,15.584399999999999,15584.4,148,,,32
2020-02-28 13:48:19-06:00,34.120372077450156,-118.55411689728498,26.00405,522.6,5113,15.620400000000002,15620.4,149,,,32
2020-02-28 13:48:20-06:00,34.12033553235233,-118.55413575656712,26.00845,522.6,5113,15.584399999999999,15584.4,149,,,32
2020-02-28 13:48:22-06:00,34.12025707773864,-118.55416341684759,26.01752,523.0,5115,15.584399999999999,15584.4,147,,,32
2020-02-28 13:48:24-06:00,34.12017392925918,-118.55418462306261,26.02695,523.4,5117,15.584399999999999,15584.4,147,,,32
2020-02-28 13:48:25-06:00,34.12014115601778,-118.55419493280351,26.0307,523.4,5117,15.620400000000002,15620.4,147,,,32
2020-02-28 13:48:26-06:00,34.12009530700743,-118.55421479791403,26.03609,523.6,5118,16.0236,16023.6,147,,,32
2020-02-28 13:48:27-06:00,34.12005809135735,-118.55423759669065,26.04072,523.6,5118,16.056,16056.0,146,,,32
2020-02-28 13:48:28-06:00,34.12002380937338,-118.55426550842822,26.0453,523.8,5119,16.2252,16225.2,146,,,32
2020-02-28 13:48:29-06:00,34.119997238740325,-118.5542908217758,26.04906,523.8,5119,16.2576,16257.6,146,,,32
2020-02-28 13:48:30-06:00,34.11996521987021,-118.55431915260851,26.053459999999998,524.0,5120,16.2576,16257.6,146,,,32
2020-02-28 13:48:31-06:00,34.11992356181145,-118.55434832163155,26.05877,524.2,5121,16.2576,16257.6,146,,,32
2020-02-28 13:48:32-06:00,34.11988793872297,-118.5543648339808,26.062990000000003,524.2,5121,16.2576,16257.6,146,,,32
2020-02-28 13:48:33-06:00,34.11984988488257,-118.55437271296978,26.06727,524.2,5121,16.0884,16088.4,146,,,32
2020-02-28 13:48:34-06:00,34.119810070842505,-118.55437472462654,26.07162,524.4000000000001,5122,16.056,16056.0,146,,,32
2020-02-28 13:48:35-06:00,34.119770508259535,-118.55436307378113,26.07612,524.5999999999999,5123,16.0884,16088.4,146,,,32
2020-02-28 13:48:36-06:00,34.11973161622882,-118.55434253811836,26.08079,524.5999999999999,5123,16.2576,16257.6,147,,,32
2020-02-28 13:48:37-06:00,34.11969892680645,-118.55431068688631,26.08539,524.8,5124,16.290000000000003,16290.0,147,,,32
2020-02-28 13:48:38-06:00,34.11967260763049,-118.55426752008498,26.090310000000002,525.0,5125,16.290000000000003,16290.0,148,,,32
2020-02-28 13:48:39-06:00,34.119652323424816,-118.55421806685627,26.09535,525.2,5126,16.290000000000003,16290.0,148,,,32
2020-02-28 13:48:40-06:00,34.11963690072298,-118.55416685342789,26.100369999999998,525.4000000000001,5127,16.290000000000003,16290.0,146,,,32
2020-02-28 13:48:41-06:00,34.119624411687255,-118.55411354452372,26.10548,525.4000000000001,5127,16.8948,16894.8,146,,,32
2020-02-28 13:48:42-06:00,34.119611671194434,-118.55405872687697,26.11073,525.5999999999999,5128,17.0316,17031.600000000002,145,,,32
2020-02-28 13:48:43-06:00,34.119602451100945,-118.55401497334242,26.11489,525.5999999999999,5128,17.535600000000002,17535.600000000002,145,,,32
2020-02-28 13:48:44-06:00,34.11958736367524,-118.55396158061922,26.12009,525.5999999999999,5128,17.9028,17902.8,145,,,32
2020-02-28 13:48:50-06:00,34.11947429180145,-118.55363024398685,26.15313,525.5999999999999,5128,18.846,18846.0,143,,,32
2020-02-28 13:48:51-06:00,34.11945945583284,-118.55357475578785,26.1585,525.8,5129,18.846,18846.0,143,,,32
2020-02-28 13:48:52-06:00,34.11944252438843,-118.55352077633142,26.16382,525.8,5129,18.846,18846.0,142,,,32
2020-02-28 13:48:53-06:00,34.11941947415471,-118.55347199365497,26.16896,525.8,5129,18.846,18846.0,143,,,32
2020-02-28 13:48:54-06:00,34.11938854493201,-118.55343134142458,26.17397,525.8,5129,18.846,18846.0,143,,,32
2020-02-28 13:48:55-06:00,34.119347389787436,-118.55340569280088,26.17897,526.0,5130,18.846,18846.0,142,,,32
2020-02-28 13:48:56-06:00,34.119301876053214,-118.55339831672609,26.18396,526.0,5130,18.846,18846.0,142,,,32
2020-02-28 13:48:57-06:00,34.11925879307091,-118.55341793037951,26.18892,526.0,5130,18.846,18846.0,139,,,32
2020-02-28 13:48:58-06:00,34.11922727711499,-118.55346101336181,26.19414,526.0,5130,19.011599999999998,19011.600000000002,139,,,32
2020-02-28 13:48:59-06:00,34.11920640617609,-118.55351574718952,26.199669999999998,526.2,5131,19.08,19080.0,139,,,32
2020-02-28 13:49:02-06:00,34.1191715374589,-118.55369796976447,26.21692,526.5999999999999,5133,19.314,19314.0,139,,,32
2020-02-28 13:49:04-06:00,34.11915519274771,-118.55380844324827,26.227259999999998,526.8,5134,19.7496,19749.600000000002,138,,,32
2020-02-28 13:49:05-06:00,34.11914622411132,-118.5538814496249,26.23407,527.0,5135,19.7496,19749.600000000002,138,,,32
2020-02-28 13:49:06-06:00,34.11914253607392,-118.55394280515611,26.23974,527.2,5136,19.7496,19749.600000000002,138,,,32
2020-02-28 13:49:07-06:00,34.11913809366524,-118.55400164611638,26.245189999999997,527.4000000000001,5137,19.7496,19749.600000000002,137,,,32
2020-02-28 13:49:08-06:00,34.11913247779012,-118.55404749512672,26.24946,527.4000000000001,5137,19.7496,19749.600000000002,137,,,32
2020-02-28 13:49:09-06:00,34.11912032403052,-118.55411488562822,26.2558,527.5999999999999,5138,19.7496,19749.600000000002,141,,,32
2020-02-28 13:49:10-06:00,34.119106912985444,-118.55416945181787,26.26104,527.5999999999999,5138,19.447200000000002,19447.2,141,,,32
2020-02-28 13:49:11-06:00,34.119091322645545,-118.55422284454107,26.26625,527.5999999999999,5138,19.1448,19144.8,141,,,32
2020-02-28 13:49:12-06:00,34.119073720648885,-118.55427590198815,26.27152,527.8,5139,18.7452,18745.2,141,,,32
2020-02-28 13:49:13-06:00,34.11906064487994,-118.55431772768497,26.27564,527.8,5139,18.442800000000002,18442.8,142,,,32
2020-02-28 13:49:14-06:00,34.119040947407484,-118.55436500161886,26.280450000000002,527.8,5139,18.342,18342.0,144,,,32
2020-02-28 13:49:15-06:00,34.11900230683386,-118.55440774932504,26.286099999999998,528.2,5141,18.306,18306.0,144,,,32
2020-02-28 13:49:16-06:00,34.11895813420415,-118.5544131975621,26.29071,528.2,5141,18.2736,18273.600000000002,144,,,32
2020-02-28 13:49:17-06:00,34.11891555413604,-118.55439492501318,26.29568,528.4000000000001,5142,18.172800000000002,18172.8,144,,,32
2020-02-28 13:49:18-06:00,34.11887716501951,-118.5543645825237,26.30069,528.5999999999999,5143,17.9388,17938.8,145,,,32
2020-02-28 13:49:19-06:00,34.11885034292936,-118.55433407239616,26.304779999999997,528.8,5144,17.9388,17938.8,145,,,32
2020-02-28 13:49:20-06:00,34.11881010979414,-118.55428621172905,26.311049999999998,528.8,5144,17.737199999999998,17737.2,146,,,32
2020-02-28 13:49:21-06:00,34.11877884529531,-118.55424413457513,26.31625,529.0,5145,17.7012,17701.2,146,,,32
2020-02-28 13:49:22-06:00,34.11874900572002,-118.55420029722154,26.32148,529.2,5146,17.7012,17701.2,147,,,32
2020-02-28 13:49:23-06:00,34.11871824413538,-118.55415729805827,26.32671,529.2,5146,17.7012,17701.2,147,,,32
2020-02-28 13:49:24-06:00,34.11868505179882,-118.55411714874208,26.33193,529.4000000000001,5147,17.7012,17701.2,147,,,32
2020-02-28 13:49:25-06:00,34.11865068599582,-118.55407959781587,26.33708,529.4000000000001,5147,17.737199999999998,17737.2,147,,,32
2020-02-28 13:49:26-06:00,34.118614979088306,-118.5540453158319,26.34214,529.5999999999999,5148,17.737199999999998,17737.2,147,,,32
2020-02-28 13:49:27-06:00,34.11858446896076,-118.55402519926429,26.34598,529.5999999999999,5148,17.737199999999998,17737.2,147,,,32
2020-02-28 13:49:28-06:00,34.11853359080851,-118.5540091060102,26.35166,529.8,5149,17.9388,17938.8,148,,,32
2020-02-28 13:49:29-06:00,34.11848966963589,-118.55401136912405,26.3565,530.0,5150,17.9388,17938.8,148,,,32
2020-02-28 13:49:30-06:00,34.118450274690986,-118.55402855202556,26.36103,530.0,5150,17.7012,17701.2,147,,,32
2020-02-28 13:49:31-06:00,34.11841758526862,-118.55406182818115,26.36573,530.2,5151,17.6004,17600.4,147,,,32
2020-02-28 13:49:32-06:00,34.118392523378134,-118.55410591699183,26.37061,530.2,5151,17.6004,17600.4,148,,,32
2020-02-28 13:49:33-06:00,34.11837919615209,-118.55415537022054,26.375349999999997,530.5999999999999,5153,17.568,17568.0,148,,,32
2020-02-28 13:49:34-06:00,34.11837441846728,-118.55421060696244,26.38044,531.0,5155,17.3988,17398.8,148,,,32
2020-02-28 13:49:35-06:00,34.11837777122855,-118.55426332913339,26.38531,531.5999999999999,5158,17.3988,17398.8,148,,,32
2020-02-28 13:49:36-06:00,34.11838615313172,-118.55431579984725,26.390240000000002,531.8,5159,17.3988,17398.8,148,,,32
2020-02-28 13:49:37-06:00,34.11839671432972,-118.5543685220182,26.39524,532.0,5160,17.568,17568.0,149,,,32
2020-02-28 13:49:38-06:00,34.11840652115643,-118.55442174710333,26.40026,532.4000000000001,5162,17.6004,17600.4,149,,,32
2020-02-28 13:49:39-06:00,34.118416495621204,-118.55447254143655,26.405060000000002,532.4000000000001,5162,17.568,17568.0,149,,,32
2020-02-28 13:49:40-06:00,34.11842370405793,-118.55452417396009,26.409869999999998,532.5999999999999,5163,17.568,17568.0,149,,,32
2020-02-28 13:49:41-06:00,34.11842470988631,-118.55457806959748,26.414830000000002,532.8,5164,17.568,17568.0,151,,,32
2020-02-28 13:49:42-06:00,34.1184201836586,-118.55463171377778,26.419790000000003,533.2,5166,18.003600000000002,18003.600000000002,151,,,32
2020-02-28 13:49:43-06:00,34.11840995773673,-118.55468544177711,26.42485,533.4000000000001,5167,18.0396,18039.600000000002,151,,,32
2020-02-28 13:49:44-06:00,34.118396043777466,-118.55473766103387,26.42989,533.5999999999999,5168,18.0396,18039.600000000002,151,,,32
2020-02-28 13:49:45-06:00,34.11837777122855,-118.55478828772902,26.43498,533.5999999999999,5168,18.0396,18039.600000000002,150,,,32
2020-02-28 13:49:46-06:00,34.11835899576545,-118.55483992025256,26.44018,533.8,5169,18.0396,18039.600000000002,150,,,32
2020-02-28 13:49:47-06:00,34.118342231959105,-118.55489205569029,26.445330000000002,533.8,5169,18.0396,18039.600000000002,152,,,32
2020-02-28 13:49:48-06:00,34.118321696296334,-118.5549417603761,26.45043,534.0,5170,18.003600000000002,18003.600000000002,152,,,32
2020-02-28 13:49:49-06:00,34.118296299129725,-118.55498911812901,26.45562,534.0,5170,17.9712,17971.2,153,,,32
2020-02-28 13:49:50-06:00,34.118273835629225,-118.55503027327359,26.46016,534.0,5170,17.9712,17971.2,153,,,32
2020-02-28 13:49:51-06:00,34.11824424751103,-118.55506480671465,26.46468,534.2,5171,17.9712,17971.2,153,,,32
2020-02-28 13:49:52-06:00,34.118205439299345,-118.55508810840547,26.4694,534.2,5171,17.9388,17938.8,151,,,32
